county,location_type,Sex,Age,household_size,education_level,marital_status,has_disability,monthly_income,experienced_shock,mobile_ownership_1,mobile_money_access,barriers_mobile_money,Savings_formal,Savings_informal,Loan_formal,Loan_informal,defaulted,formal_service_use,barriers_bank,prodsum1,fl_score,nfhi_11,nfhi_12,nfhi_13,accessto_13k_1month,not_difficult,financial_status
Garissa,225,Female,3,1,4,4,0,5000,0,1,1,0,0,0,0,1,0,1,0,3,3,1,1,1,1,0,Stayed the same
Garissa,223,Female,6,1,1,4,0,5000,0,1,1,0,0,0,0,0,0,1,1,1,2,0,0,1,0,0,Worsened
Busia,1514,Female,3,2,2,2,0,5000,1,1,1,0,1,1,0,0,0,1,1,5,3,1,0,0,0,0,Improved
Kiambu,796,Male,2,1,3,1,0,5000,0,1,1,0,1,0,1,1,1,1,1,4,3,0,0,0,1,0,Improved
Murang'a,763,Female,2,2,3,1,0,5000,0,1,1,0,1,0,1,0,0,1,0,5,3,1,1,1,1,1,Improved
Kilifi,108,Female,6,2,3,4,0,5000,0,1,1,0,0,0,1,0,0,1,1,2,3,0,1,0,0,0,Worsened
Meru,359,Female,4,2,2,1,0,5000,0,1,1,0,0,1,0,1,1,1,1,4,3,1,0,0,0,0,Stayed the same
Kilifi,85,Male,4,2,2,4,0,5000,1,1,1,0,0,0,1,0,1,1,1,2,1,0,1,1,0,0,Worsened
Kisumu,1584,Female,3,2,2,4,0,5000,0,1,1,0,1,0,0,0,0,1,1,3,2,1,1,0,1,0,Worsened
Baringo,1089,Male,3,2,3,4,0,5000,1,1,1,0,1,0,1,0,1,1,0,12,3,0,0,0,1,0,Improved
Isiolo,335,Female,3,3,1,4,0,5000,0,1,1,0,0,0,0,0,0,1,4,1,1,1,1,1,1,1,Improved
Embu,443,Female,5,1,3,4,0,5000,0,1,1,0,0,1,1,0,1,1,1,3,3,1,1,1,0,0,Stayed the same
Kilifi,100,Female,3,2,1,4,0,5000,0,1,1,0,0,0,0,0,0,1,1,1,2,0,0,1,1,1,Worsened
Mombasa,12,Female,4,2,4,1,0,5000,0,1,1,0,1,0,0,0,0,1,0,3,2,1,1,1,0,0,Improved
Elgeyo-Marakwet,1020,Male,5,1,2,4,0,5000,0,1,1,0,1,0,1,1,1,1,0,8,3,1,0,1,1,1,Worsened
Homabay,1621,Female,5,2,2,4,1,5000,0,1,1,0,0,0,0,1,0,1,1,3,1,1,0,0,0,0,Worsened
Migori,1673,Male,5,2,3,4,0,5000,0,1,1,0,1,0,1,0,0,1,0,10,3,1,1,1,1,0,Improved
Siaya,1557,Male,2,2,3,4,0,5000,1,1,1,0,1,1,1,0,1,1,0,10,3,0,1,0,1,0,Worsened
West Pokot,861,Female,2,2,2,1,0,5000,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,Worsened
Nyeri,655,Female,6,2,3,1,0,5000,0,1,1,0,0,0,0,0,0,1,0,4,2,1,1,1,0,0,Worsened
Bomet,1313,Female,4,2,3,3,0,5000,0,1,1,0,1,0,0,1,0,1,1,4,2,1,1,1,1,0,Improved
Makueni,560,Female,2,2,3,1,0,5000,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,Worsened
Bomet,1333,Female,5,3,2,4,0,5000,0,1,1,0,1,1,0,1,0,1,1,5,3,1,1,0,1,0,Stayed the same
Uasin Gishu,985,Female,2,2,2,1,0,5000,0,0,0,7,0,0,0,0,0,0,4,0,3,1,0,1,1,0,Improved
Bungoma,1449,Female,5,2,3,1,0,5000,1,1,1,0,1,0,0,0,0,1,1,3,2,0,0,1,0,0,Worsened
Kilifi,96,Female,5,1,2,4,0,5000,1,1,1,0,0,0,0,1,1,1,1,2,2,1,1,1,0,0,Stayed the same
Kisumu,1601,Female,3,1,2,4,0,5000,1,1,1,0,1,1,0,0,0,1,1,4,2,0,0,1,1,0,Worsened
Bomet,1328,Female,3,1,3,4,0,5000,0,1,1,0,0,1,1,1,0,1,3,5,3,1,1,1,1,0,Worsened
Nakuru,1183,Male,2,2,3,1,0,5000,0,1,1,0,1,0,0,0,0,1,0,5,3,1,1,1,1,1,Worsened
Bungoma,1474,Female,6,2,1,3,0,5000,1,0,1,0,0,0,0,1,1,1,0,4,2,0,1,1,0,0,Stayed the same
Kakamega,1375,Female,3,2,3,4,0,5000,1,0,0,7,0,0,0,1,0,0,4,1,2,0,1,0,0,0,Worsened
Kwale,84,Male,4,2,2,4,0,5000,1,1,1,0,1,0,1,1,0,1,0,7,2,1,0,0,1,0,Worsened
Kitui,510,Female,4,2,2,2,0,5000,1,1,1,0,0,0,1,0,0,1,1,4,2,0,0,1,0,0,Worsened
Mandera,279,Male,3,3,1,4,0,5000,0,1,1,0,0,0,0,0,0,1,1,1,3,1,1,1,1,0,Worsened
West Pokot,867,Female,3,2,1,4,0,5000,1,0,0,7,0,0,0,0,0,0,8,0,3,0,0,1,1,0,Worsened
Nairobi City,1830,Male,6,2,4,4,1,5000,0,1,1,0,1,0,0,0,0,1,0,11,2,1,1,1,1,0,Improved
Kwale,67,Female,6,2,1,3,0,5000,0,0,1,7,0,0,0,0,0,1,4,0,2,1,1,1,1,0,Worsened
Machakos,526,Female,3,2,2,4,0,5000,0,1,1,0,0,1,1,0,0,1,1,4,3,1,1,1,0,0,Improved
Mombasa,39,Male,3,2,3,4,0,5000,0,1,1,0,1,0,0,0,0,1,1,4,3,1,1,1,0,0,Stayed the same
Kwale,74,Male,2,2,2,1,0,5000,0,1,0,2,0,0,0,0,0,0,2,0,3,1,1,1,0,0,Worsened
Kisumu,1564,Male,2,1,3,1,0,5000,1,0,1,7,0,0,0,0,0,1,2,0,2,1,1,1,1,0,Stayed the same
Tharaka-Nithi,417,Male,2,2,3,1,0,5000,0,1,1,0,0,0,0,0,0,1,8,1,2,1,1,1,0,0,Worsened
Homabay,1621,Female,3,2,2,4,0,5000,1,1,1,0,1,1,0,1,0,1,1,6,2,0,0,0,0,0,Worsened
Uasin Gishu,973,Female,3,2,2,4,0,5000,1,1,1,0,0,1,1,1,1,1,1,8,2,0,1,0,1,0,Worsened
Elgeyo-Marakwet,1021,Female,2,2,3,4,0,5000,1,1,1,2,0,0,0,1,1,1,2,1,2,0,0,0,0,0,Worsened
Elgeyo-Marakwet,999,Female,5,2,2,3,0,5000,0,1,1,0,1,0,1,1,0,1,0,9,2,1,1,0,1,1,Improved
Kiambu,810,Female,3,2,4,4,0,5000,1,1,0,8,1,0,0,0,0,1,0,5,3,1,1,1,1,1,Improved
Siaya,1529,Female,1,2,2,1,0,5000,0,0,0,7,0,0,0,1,0,0,2,1,3,0,0,0,0,0,Worsened
Nyandarua,626,Female,6,3,2,3,0,5000,1,1,1,0,0,1,0,0,0,1,0,4,2,1,0,1,0,0,Worsened
Murang'a,749,Male,4,3,2,4,0,5000,0,1,1,0,0,0,1,1,1,1,1,2,2,0,1,1,1,0,Worsened
Marsabit,311,Male,3,2,3,4,0,5000,0,1,1,0,1,1,1,0,1,1,0,15,3,1,1,1,1,1,Worsened
Kiambu,773,Male,6,2,3,4,0,5000,0,1,1,0,0,0,0,1,1,1,1,2,3,1,1,1,0,0,Worsened
Machakos,528,Female,3,2,2,4,0,5000,1,0,1,0,1,1,0,0,0,1,1,4,2,1,1,1,1,0,Improved
Kirinyaga,694,Male,5,2,2,4,0,5000,0,1,1,0,0,0,1,1,1,1,1,4,2,0,0,1,0,0,Worsened
Isiolo,336,Male,2,2,3,1,0,5000,1,1,1,0,1,0,1,0,0,1,3,6,2,1,0,1,1,0,Worsened
Elgeyo-Marakwet,1002,Male,6,2,1,2,0,5000,1,0,0,7,0,0,0,0,0,0,4,1,1,0,0,1,0,0,Worsened
Mombasa,39,Male,6,2,2,4,0,5000,1,1,1,0,0,0,1,0,1,1,1,4,2,0,0,0,1,0,Worsened
Kirinyaga,715,Female,2,2,3,1,0,5000,0,1,1,9,1,0,0,0,0,1,0,2,2,1,0,1,1,0,Improved
Kericho,1276,Female,4,2,2,4,0,5000,1,1,1,0,1,0,1,0,1,1,3,9,2,0,1,0,1,0,Worsened
Homabay,1632,Female,4,2,2,3,0,5000,1,1,1,0,1,0,1,0,1,1,1,3,2,0,1,1,1,1,Improved
Kisii,1712,Male,2,1,3,1,0,5000,1,1,1,7,0,0,0,1,1,1,1,1,3,0,0,0,0,0,Stayed the same
Siaya,1524,Female,6,2,1,3,0,5000,0,0,1,0,1,1,0,1,0,1,1,3,1,0,0,0,0,0,Stayed the same
Mombasa,20,Female,3,2,3,4,0,5000,0,1,1,0,0,1,0,1,1,1,1,5,2,0,0,1,1,0,Stayed the same
Taita-Taveta,199,Male,3,2,2,1,0,5000,1,1,1,0,1,0,1,0,1,1,1,4,1,1,1,1,0,0,Stayed the same
Homabay,1623,Female,4,2,2,4,0,5000,0,1,1,0,1,1,1,1,0,1,1,5,3,1,0,0,0,0,Worsened
Isiolo,339,Male,3,1,4,4,0,5000,1,1,1,0,1,0,1,0,1,1,0,10,3,1,1,1,1,0,Stayed the same
Vihiga,1417,Male,5,2,2,4,0,5000,1,0,1,0,1,0,0,0,0,1,3,2,1,1,1,1,0,0,Worsened
Bomet,1350,Male,3,1,4,1,0,5000,0,1,1,0,1,0,1,0,0,1,0,10,2,1,1,1,1,1,Worsened
Homabay,1646,Female,4,2,2,3,0,5000,0,1,1,0,0,1,0,0,0,1,1,3,1,1,1,1,0,0,Worsened
Trans Nzoia,936,Female,2,1,3,1,0,5000,1,1,1,0,1,0,1,0,1,1,8,5,2,1,1,1,0,0,Worsened
Busia,1504,Female,6,2,2,3,0,5000,1,0,1,7,0,0,0,1,1,1,1,1,3,0,1,0,0,0,Stayed the same
Narok,1189,Female,2,1,2,1,0,5000,0,0,0,7,0,0,0,0,0,0,2,0,2,1,1,1,1,0,Stayed the same
Narok,1190,Female,2,1,3,4,0,5000,1,1,1,0,0,0,0,1,0,1,1,2,3,0,0,0,0,0,Worsened
Kajiado,1252,Male,3,1,4,4,0,5000,1,1,1,0,1,0,1,1,1,1,0,12,3,0,1,0,1,0,Stayed the same
Siaya,1543,Male,6,2,3,4,0,5000,1,1,1,0,1,1,1,0,0,1,0,7,2,1,1,1,1,1,Worsened
Marsabit,303,Female,3,2,1,4,1,5000,0,1,1,0,1,0,0,0,0,1,5,2,0,0,0,1,0,0,Worsened
Kakamega,1379,Female,3,2,3,4,0,5000,0,1,1,0,1,1,1,0,0,1,0,6,1,0,1,0,0,0,Worsened
Kisumu,1577,Male,1,2,3,1,0,5000,1,1,1,2,0,0,0,0,0,1,2,0,1,0,1,1,0,0,Stayed the same
Kajiado,1255,Female,4,2,2,1,0,5000,1,1,1,2,0,0,0,0,0,1,2,0,1,0,0,1,0,0,Stayed the same
Trans Nzoia,935,Female,1,1,3,1,0,5000,1,0,0,7,0,0,0,0,0,0,8,0,3,1,1,1,0,0,Stayed the same
Nakuru,1151,Female,4,1,3,4,0,5000,0,0,1,0,0,1,0,1,0,1,1,4,1,1,0,1,1,0,Worsened
Kericho,1294,Female,2,1,3,4,0,5000,0,1,1,2,0,1,0,0,0,1,1,1,2,1,1,0,0,0,Improved
Laikipia,1109,Male,4,3,3,4,1,5000,1,1,1,0,1,0,0,1,0,1,1,3,3,1,1,0,1,1,Improved
Nandi,1039,Female,3,2,3,4,0,5000,1,1,1,0,1,0,0,0,0,1,1,2,2,1,0,1,1,1,Stayed the same
Lamu,166,Female,5,2,2,4,0,5000,1,1,1,0,0,0,1,1,0,1,3,3,3,1,0,1,0,0,Stayed the same
Mandera,280,Female,2,1,3,1,0,5000,0,1,0,1,0,0,0,0,0,0,1,0,2,0,1,1,0,0,Worsened
Murang'a,750,Male,3,1,3,4,0,5000,1,1,1,0,1,0,1,0,1,1,1,3,3,1,1,1,0,0,Worsened
Kericho,1307,Male,6,2,2,4,0,5000,1,1,1,0,1,0,0,0,0,1,1,4,3,0,1,1,0,0,Worsened
Meru,368,Female,5,2,2,2,0,5000,0,1,1,0,0,0,0,1,1,1,1,3,1,0,0,0,0,0,Stayed the same
Nandi,1050,Female,5,1,2,4,0,5000,1,1,1,0,0,0,1,1,1,1,8,4,2,1,1,0,0,0,Worsened
Kwale,84,Female,4,2,1,3,0,5000,0,1,1,0,0,0,0,1,1,1,0,2,3,0,0,0,0,0,Worsened
Nyeri,655,Male,4,2,2,4,0,5000,0,1,1,0,1,1,1,0,0,1,0,7,2,1,1,1,1,0,Stayed the same
Elgeyo-Marakwet,1002,Male,5,2,2,4,0,5000,1,1,1,0,1,0,1,1,1,1,1,11,3,0,0,0,0,0,Worsened
Nandi,1029,Female,4,2,3,4,0,5000,1,1,1,0,1,1,1,1,0,1,1,6,2,0,0,0,1,0,Worsened
Kisumu,1596,Female,2,1,5,4,0,5000,1,1,1,0,1,1,0,0,0,1,3,5,3,1,1,1,1,0,Worsened
Kilifi,94,Male,6,2,2,3,0,5000,1,1,1,0,1,1,1,1,1,1,1,9,1,0,1,1,1,0,Stayed the same
Narok,1195,Female,3,3,1,4,0,5000,1,0,0,7,0,0,1,0,0,1,8,1,2,1,1,1,0,0,Worsened
